carat,cut,color,clarity,depth,table,price,x,y,z,xy,predictions
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,0.992462311557789,371.2
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,1.0130208333333335,384.5
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,0.9950859950859949,348.0
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,0.9929078014184397,362.7
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,0.9977011494252874,420.2
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,0.9949494949494949,365.8
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,0.992462311557789,529.4
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,0.9902676399026764,411.5
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,1.023809523809524,367.0
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,0.9876543209876544,352.9
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,0.9929906542056074,343.8
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,1.0076923076923077,393.2
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,1.0104166666666667,410.8
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,0.9954233409610983,403.9
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,1.0106666666666666,612.6
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,0.9909502262443439,424.3
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,0.9930875576036866,361.1
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,0.9860139860139862,349.8
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,0.9929577464788734,353.7
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,0.9859484777517565,357.0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,0.9906976744186047,363.3
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,0.9821428571428572,392.4
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,0.9949494949494949,366.8
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,0.9909706546275395,355.0
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,0.993288590604027,355.0
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,0.9900249376558604,371.2
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,1.0076142131979695,391.1
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,0.9953488372093025,360.3
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,0.9974811083123425,384.6
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,0.9924812030075187,376.4
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,0.9925558312655086,406.8
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,0.9950738916256159,414.2
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,0.9900249376558604,402.0
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,0.9876847290640395,403.1
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,0.98989898989899,390.2
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,0.9950980392156862,422.5
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,0.9948051948051948,398.5
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,0.9953596287703017,412.3
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,0.9927884615384615,457.0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,0.9955654101995567,401.1
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,0.9977777777777779,478.7
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,0.9868131868131869,422.6
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,0.992537313432836,407.3
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,0.9882075471698114,405.0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,0.9931350114416475,400.0
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,0.995305164319249,431.9
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,0.9841628959276018,409.6
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,0.995433789954338,399.0
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,0.9925558312655086,401.7
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,0.9908466819221968,437.6
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,0.9975186104218361,391.0
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,0.9949367088607595,420.8
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,0.9933035714285714,443.2
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,1.0102827763496145,402.2
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,1.0077319587628866,400.4
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,0.9930715935334873,395.5
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1.0114155251141552,458.9
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,0.9929906542056074,398.2
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,0.9907407407407407,402.7
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,0.9906759906759907,403.9
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,0.9891067538126362,553.9
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,0.9906323185011712,548.3
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,0.9930555555555555,538.0
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,0.9930715935334873,552.0
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,0.987603305785124,608.6
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,0.9928909952606637,587.5
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,0.9932126696832578,575.3
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,1.0069767441860467,561.0
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,1.0069444444444442,573.0
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,0.9950372208436723,527.7
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,0.9925,480.4
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,1.0046838407494145,547.0
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,1.009433962264151,554.0
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,1.0094117647058825,551.2
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,1.0046948356807512,549.8
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,0.9928909952606637,569.5
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,0.9810874704491725,565.6
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,0.9878934624697338,543.2
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,0.9901234567901235,566.3
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,0.9926650366748165,551.1
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,0.9900990099009901,562.2
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,0.9781553398058253,543.2
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,0.9901477832512315,627.1
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,0.9957173447537474,564.9
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,0.9929411764705882,554.0
